Number,Spell,Type,Function,Book,Loc,Snippet
264,Alohomora,Charm,Opens locked objects,5: OotP,771216,"moment, Harry felt hermione collapse next to him, he was alone … completely alone, … expecto — expectopatronum — Harry felt his knees hit the cold grass, fog was clouding his eyes, with a huge"
265,Alohomora,Charm,Opens locked objects,5: OotP,812350,"moody’s desk as possible, moody raised his wand again, pointed it at the spider, and mut­tered, crucio! at once, the spider’s legs bent in upon its body; it rolled over and began to"
266,Alohomora,Charm,Opens locked objects,5: OotP,816817,"mouth when the female death eater shrieked, accio proph — Harry was just ready for her, he shouted protego! before she had finished her spell, and though the glass sphere slipped to the tips of his"
267,Alohomora,Charm,Opens locked objects,6: HBP,893571,"mr. ollivander ran his fingers along the wand, apparently check­ing for scratches or bumps; then he muttered, orchideous! and a bunch of flowers burst from the wand tip, very well, very well, it’s"
268,Alohomora,Charm,Opens locked objects,7: DH,1102125,"mr. weasley! wha —? oh — oh, right, said ron, very flustered, er — silencio! he jabbed at the bullfrog so hard that he poked it in the eye; the frog gave"
269,Fidelius,Charm,Hides a secret within someone,3: PoA,251967,"muffliato charm over us, right? he whispered to hermione, i did everything, she whispered back, muffliato, muggle-repelling and disillusionment charms, all of it, they shouldn’t be able to hear or see us"
270,Fidelius,Charm,Hides a secret within someone,3: PoA,252224,"muttered Harry, tugging at the chains binding her arms, well, i’ve had a change of heart, diffindo! nothing happened, hermione, how do i get rid of these chains? wait, i’m trying"
271,Fidelius,Charm,Hides a secret within someone,7: DH,1072402,"my wand? she looked as though ready to wrestle it out of Harry’s hands and he reacted instinctively, protego! the invisible shield erupted between ron and hermione : the force of it knocked her backward onto the"
272,Fidelius,Charm,Hides a secret within someone,7: DH,1127737,"no more effect than Harry’s — Harry raised his wand as the spider opened its pincers once more and shouted expelliarmus! it worked — the disarming spell made the spider drop him, but that meant that Harry fell"
273,Fidelius,Charm,Hides a secret within someone,7: DH,1143905,"not like it crying, he had never been able to stomach the small ones whining in the orphanage — avadakedavra! and then he broke : he was nothing, nothing but pain and terror, and he must"
274,Fidelius,Charm,Hides a secret within someone,7: DH,1146469,"obliviate! cried hermione, pointing her wand first into his face, then at the floor beneath them, deprimo! she had blasted a hole in the sitting room floor, they fell like boulders, Harry still"
275,Fidelius,Charm,Hides a secret within someone,7: DH,1150200,"of a field at dusk; hermione was already running in a circle around them, waving her wand, protegototalum … salviohexia … that treacherous old bleeder! ron panted, emerging from beneath the invisibility cloak and throwing"
276,Fidelius,Charm,Hides a secret within someone,7: DH,1193099,"of anger from his fellows : scabior drew his wand, what d’you think you’re playing at, woman? stupefy! she screamed, stupefy! they were no match for her, even though there were four of"
277,Fidelius,Charm,Hides a secret within someone,7: DH,1206037,"of getting out of the maze and celebrating with ron and hermione, raised his wand, and cried, expectopatronum! a silver stag erupted from the end of Harry’s wand and galloped toward the dementor, which fell"
278,Imperio,Curse,Controls a personUnforgivable,4: GoF,384111,"of his head, the skrewt issued a blast of fire from its end and flew for­ward toward him, impedimenta! Harry yelled, the spell hit the skrewt’s armor again and ricocheted off; Harry staggered back a"
279,Imperio,Curse,Controls a personUnforgivable,4: GoF,389723,"offices have been raining lately, said mr. weasley, did you try meteolojinxrecanto? it worked for bletchley, meteolojinxrecanto? whispered ron, no, i didn’t, thanks, d — i mean, thanks, arthur"
280,Imperio,Curse,Controls a personUnforgivable,4: GoF,522122,"oh, move over, hermione snarled, she grabbed Harry’s wand, tapped the lock, and whispered, alohomora! the lock clicked and the door swung open — they piled through it, shut it quickly,"
281,Imperio,Curse,Controls a personUnforgivable,7: DH,1208284,"on ron, clicking its pincers menac­ingly, for a moment, Harry thought ron had frozen, then — riddikulus! bellowed ron, and the spider’s legs vanished; it rolled over and over; lavender brown squealed"
282,Imperio,Curse,Controls a personUnforgivable,7: DH,1208411,"on the hot metal, Harry struggled to his feet and knew that the only way out was through, stupefy! he bellowed, and ron and hermione joined in : jets of red light flew into the crowd"
283,Imperio,Curse,Controls a personUnforgivable,7: DH,1209002,"once more, the dementor glided forward, drawing its breath; one rotting hand was extending toward Harry — expectopatronum! Harry yelled, expectopatronum! expecto pat — white fog obscured his senses … big, blurred shapes"
284,Imperio,Curse,Controls a personUnforgivable,7: DH,1209553,"one answered, they were here, Harry said to dumbledore, they were defi­nitely somewhere around here, … lumos, dumbledore said, lighting his wand and holding it up, its narrow beam traveled from black trunk"
285,Imperio,Curse,Controls a personUnforgivable,7: DH,1227913,"one of the death eaters waved his wand and the scream stopped, still echoing around the distant mountains, accio cloak! roared one of the death eaters, Harry seized its folds, but it made no attempt"
286,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1002587,"only it would move, then he’d know whether it was just a stray cat or — something else, lumos, Harry muttered, and a light appeared at the end of his wand, almost dazzling him,"
287,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1005592,"open and poured three drops inside it, then he pointed his wand at the man’s chest and said, rennervate, crouch’s son opened his eyes, his face was slack, his gaze unfo­cused, dumbledore knelt before"
288,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1008185,"or feel, … let’s go again … on the count of three … one — two — three — legilimens! a great black dragon was rearing in front of him, … his father and mother were waving"
289,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1022066,"or on the fallen bodies, still slashing at the air with his wand, Harry yelled, sectumsempra! sectumsempra! but though gashes appeared in their sodden rags and their icy skin, they had no blood to"
290,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1022068,"or that i have somehow hoodwinked him? fooled the dark lord, the greatest wizard, the most accom­plished legilimens the world has ever seen? bellatrix said nothing, but looked, for the first time, a"
291,Sectumsempra,Spell,Causes wounds as if slashed by a sword,6: HBP,1033119,"out of his hand as a gigantic spider stepped into the path and began to bear down upon cedric, stupefy! Harry yelled; the spell hit the spider’s gigantic, hairy black body, but for all the"
292,Sectumsempra,Spell,Causes wounds as if slashed by a sword,7: DH,1067183,"out of the weed, had seized handfuls of Harry’s robes, and were attempting to drag him down, relashio! Harry shouted, except that no sound came out, … a large bubble issued from his mouth"
293,Sectumsempra,Spell,Causes wounds as if slashed by a sword,7: DH,1257107,"out the oven earlier, hastily pulling out his wand, he pointed it at the rag and said, tergeo, the wand siphoned off most of the grease, looking rather pleased with himself, ron handed the"
294,Silencio,Spell,Silences victim,5: OotP,672081,"overturned his desk in his anxiety to help; pointing his wand wildly at the struggling pair he cried, expelliarmus! both Harry’s and the death eater’s wands flew out of their hands and soared back toward the entrance"
295,Silencio,Spell,Silences victim,5: OotP,672145,"parvati and it began to walk toward her very slowly, dragging its feet, its stiff arms rising — riddikulus! cried parvati, a bandage unraveled at the mummy’s feet; it became entangled, fell face forward"
296,Silencio,Spell,Silences victim,5: OotP,672216,"pointed the wand instead at neville, but Harry jabbed his own wand back over his shoulder and yelled, impedimenta! malfoy was blasted off his back, as Harry scrambled up again he looked around and saw malfoy"
297,Silencio,Spell,Silences victim,5: OotP,672233,"possible the won­derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh"
298,Silencio,Spell,Silences victim,5: OotP,672235,"possible, and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including"
299,Silencio,Spell,Silences victim,5: OotP,672301,"pot protruding from under the bed before bathilda closed the door and even that was swallowed by the darkness, lumos, said Harry, and his wand ignited, he gave a start : bathilda had moved close to"
300,Silencio,Spell,Silences victim,5: OotP,672370,"potter’s! stag! roared the barman, and he pulled out a wand, stag! you idiot — expectopatronum! something huge and horned erupted from the wand : head down, it charged toward the high street"
301,Silencio,Spell,Silences victim,5: OotP,817934,"pride, and so did my parents — that there was all the difference in the world, chapter 24 sectumsempra exhausted but delighted with his night’s work, Harry told ron and hermione everything that had happened during next"
302,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,728033,"put it out with his hat, ron, at the next table, wasn’t having much more luck, wingardiumleviosa! he shouted, waving his long arms like a windmill, you’re saying it wrong, Harry heard"
303,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,728623,"put your name in that goblet shouldn’t be feeling too happy right now! i was going to suggest a conjunctivitis curse, as a dragon’s eyes are its weakest point — that’s what krum did! hermione whispered —"
304,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,728944,"quickly forcing his thoughts back to that first broom ride, expecto patrono — no, patronum — sorry — expectopatronum, expectopatronum — something whooshed suddenly out of the end of his wand; it looked like a wisp"
305,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,748049,"quickly! he grabbed his wand from the ground and pointed it into the depths of the magical bag, accio dittany! a small brown bottle zoomed out of the bag; he caught it and hastened back to"
306,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,748553,"quiet! shouted hermione, but it was too late — umbridge pointed her wand at magorian and screamed, incarcerous! ropes flew out of midair like thick snakes, wrapping themselves tightly around the centaur’s torso and trapping"
307,Legilimens,Spell,Allows the caster to delve into the mind of the victim,5: OotP,832050,"ready, that the brother and sister he had overtaken using his shortcut were closing in behind him, … impedimenta! he yelled as he rolled over again, crouching close to the dark ground, and miraculously his"
308,Legilimens,Spell,Allows the caster to delve into the mind of the victim,6: HBP,854378,"reckon he’ll risk it again, said ron, he’s not stupid, he knows she nearly got him, silencio! the large and ugly raven in front of him let out a derisive caw, silencio! silencio"
309,Diffindo,Spell,Splits seams,4: GoF,423059,"red light of his next stunning spell, Harry saw the strangely blank face of stanley shunpike — stan — expelliarmus! Harry yelled, that’s him, it’s him, it’s the real one! the hooded death eater’s"
310,Diffindo,Spell,Splits seams,5: OotP,820216,"reposing upon the bottom of the frozen pool, he pointed the wand at the silvery shape and murmured, accio sword, it did not stir, he had not expected it to, if it had been that"
311,Diffindo,Spell,Splits seams,6: HBP,912230,"ribs, what’s the matter? said ron, Harry pointed, ron pulled out his wand and muttered, lumos! a beam of light fell across the grass, hit the bottom of a tree, and illuminated"
312,Diffindo,Spell,Splits seams,7: DH,1095835,"riddle, and how the hell are we going to get up there without touching anything? asked ron, accio cup! cried hermione, who had evidently forgotten in her desperation what griphook had told them during their"
313,Diffindo,Spell,Splits seams,7: DH,1125366,"risk being caught and punished by filch for being out-of-bounds, he blew his whistle; everybody stopped shouting, expelliarmus! and the last couple of wands clat­tered to the floor, well, that was pretty good,"
314,Diffindo,Spell,Splits seams,7: DH,1158468,"rose out of it; the room fell cold and dark — expectopatronum! Harry bellowed, expecto pa­tronum! expectopatronum! the screaming inside Harry’s head had started again — except this time, it sounded as though it"
315,Impervius,Charm,Makes an object repel water,3: PoA,243775,"said — yes, a lot of offices have been raining lately, said mr. weasley, did you try meteolojinxrecanto? it worked for bletchley, meteolojinxrecanto? whispered ron, no, i didn’t, thanks, d"
316,Impervius,Charm,Makes an object repel water,5: OotP,673533,"said griphook, we can not enter the vault without a gringotts goblin, and we need the clankers! imperio! Harry said again; his voice echoed through the stone passage as he felt again the sense of"
317,Impervius,Charm,Makes an object repel water,5: OotP,673569,"said hermione, as Harry wiped his inky fingers on his jeans, she raised her wand and said, accio locket! nothing happened, ron, who had been searching the folds of the faded curtains, looked"
318,Impervius,Charm,Makes an object repel water,5: OotP,673624,"said lupin, snape? shouted Harry, you didn’t say — he lost his hood during the chase, sectumsempra was always a speciality of snape’s, i wish i could say i’d paid him back in kind,"
319,Impervius,Charm,Makes an object repel water,7: DH,1119698,"saw a few tiny movements from the pictures, as bathilda fumbled with logs for the fire, he muttered tergeo : the dust vanished from the photographs, and he saw at once that half a dozen were missing"
320,Impervius,Charm,Makes an object repel water,7: DH,1211221,"saw the knees of the death eaters bend, poking his wand out from under the desk he shouted, stupefy! a jet of red light hit the nearest death eater; he fell backward into a grandfather clock"
321,Wingardium Leviosa,Charm,Makes on object fly,1: SS,50650,"scabbed hands slid from inside the dementor’s robes, reaching for him, a rushing noise filled Harry’s ears, expectopatronum! his voice sounded dim and distant, … another wisp of silver smoke, feebler than the last"
322,Wingardium Leviosa,Charm,Makes on object fly,1: SS,50714,"screamed loudly; water poured everywhere and Harry slipped as malfoy, his face contorted, cried, cruci — sectumsempra! bellowed Harry from the floor, waving his wand wildly, blood spurted from malfoy’s face and chest"
323,Wingardium Leviosa,Charm,Makes on object fly,1: SS,52153,"second, they looked into each other’s eyes, then, at ex­actly the same time, both acted, furnunculus! Harry yelled, densaugeo! screamed malfoy, jets of light shot from both wands, hit each"
324,Wingardium Leviosa,Charm,Makes on object fly,5: OotP,823933,"secret-keeper in turn, and as there are around twenty of us, that greatly dilutes the power of the fidelius charm, twenty times as many opportunities for the death eaters to get the secret out of somebody,"
325,Wingardium Leviosa,Charm,Makes on object fly,7: DH,1062827,see ron and hermione again — and their faces burst clearly into his mind as he fought for breath — expectopatronum! an enormous silver stag erupted from the tip of Harry’s wand; its antlers caught the dementor in
326,Wingardium Leviosa,Charm,Makes on object fly,7: DH,1245470,"seemed to understand in an instant, pulling out his own wand he said, very firmly and clearly, riddikulus! Harry’s body vanished, a silvery orb hung in the air over the spot where it had lain"
327,Levicorpus,Spell,Hangs victim upside down by feet,6: HBP,917705,"seriously, have you grown to care for the boy, after all? for him? shouted snape, expectopatronum! from the tip of his wand burst the silver doe : she landed on the office floor,"
328,Levicorpus,Spell,Hangs victim upside down by feet,6: HBP,917813,"shape that you find amusing, we will practice the charm without wands first, after me, please … riddikulus! riddikulus! said the class together, good, said professor lupin, very good, but that"
329,Levicorpus,Spell,Hangs victim upside down by feet,6: HBP,947868,"she pointed her wand at the place where a lock would have been on an ordinary door and said, alohomora! nothing happened, sirius’s knife! said Harry, and he pulled it out from inside his robes"
330,Levicorpus,Spell,Hangs victim upside down by feet,6: HBP,1005495,"she whispered, hold tight … any second … xenophilius’s paper-white face appeared over the top of the sideboard, obliviate! cried hermione, pointing her wand first into his face, then at the floor beneath them,"
331,Levicorpus,Spell,Hangs victim upside down by feet,7: DH,1211133,"shell broke open, he lowered his shaking hand, raised draco’s wand beneath the cloak, and murmured, lumos, the black stone with its jagged crack running down the center sat in the two halves of the"
332,Relashio,Spell,Releases user from binding,4: GoF,471440,"shout of surprise, light your wands, can’t you? and hurry, we have very little time! lumos! Harry shone his lit wand around the vault : its beam fell upon glittering jewels; he saw"
333,Relashio,Spell,Releases user from binding,6: HBP,909457,"shriek with pain and fall too, Harry groped for his wand, blinking blood out of his eyes — lumos! he whispered, the wandlight showed him the trunk of a thick tree; they had chased scabbers"
334,Relashio,Spell,Releases user from binding,7: DH,1125438,"silently toward Harry, drawing a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex­pecto — but the classroom and the dementor were dissolving, … Harry"
335,Relashio,Spell,Releases user from binding,7: DH,1189611,"slammed him into the wall and he felt his wand leave his hand as the cloak slipped off him, petrificustotalus! screamed hermione from out of sight, and the death eater fell forward like a statue to land"
336,Relashio,Spell,Releases user from binding,7: DH,1211796,"snape so far, pointing his wand at nothing in particular, he gave it an upward flick and said levicorpus! inside his head, aaaaaaaargh! there was a flash of light and the room was full of"
337,Rennervate,Spell,Cures unconsciousness,4: GoF,360867,"snape, control your anger, discipline your mind! we shall try again! get ready, now! legilimens! he was watching uncle vernon hammering the letter box shut, … a hundred dementors were drifting across"
338,Rennervate,Spell,Cures unconsciousness,4: GoF,491115,"snitch and watching its wings flutter feebly, at last, hermione tapped on the door and tiptoed inside, muffliato, she whispered, waving her wand in the direction of the stairs, thought you didn’t approve of"
339,Rennervate,Spell,Cures unconsciousness,4: GoF,529167,"so for months, we’re the biggest blood-traitor family there is, how are they protected? asked Harry, fidelius charm, dad’s secret-keeper, and we’ve done it on this cottage too; i’m secret-keeper here, none"
340,Rennervate,Spell,Cures unconsciousness,6: HBP,1021472,"so he tried to summon his wand, which had fallen out of his hand, by saying the words accio wand! over and over again in his head, but nothing happened, he thought he could hear"
341,Rennervate,Spell,Cures unconsciousness,6: HBP,1021495,"so that he could not see, he ripped it off with his free hand and shouted, stup — stupefy! screamed hermione, who had just caught up with them, the jet of red light hit the"
342,Obliviate,Charm,Erases memories,2: CoS,180665,"some kind of enchantment, he wondered whether he might be able to blast it out of the way, reducto! he said, the spell shot straight through the mist, leaving it intact, he supposed he"
343,Obliviate,Charm,Erases memories,4: GoF,343517,"somehow, snape was growing clearer, and the dementors were grow­ing fainter … Harry raised his own wand, protego! snape staggered; his wand flew upward, away from Harry — and suddenly Harry’s mind was teeming"
344,Obliviate,Charm,Erases memories,7: DH,1096176,"spell hit the skrewt’s armor again and ricocheted off; Harry staggered back a few paces and fell over, impedimenta! the skrewt was inches from him when it froze — he had man­aged to hit it on its"
345,Obliviate,Charm,Erases memories,7: DH,1175021,"spells shattered the tiled wall where ron’s head had just been, as Harry, still invisible, yelled, stupefy! the great blond death eater was hit in the face by a jet of red light : he"
346,Reducto,Spell,Blasts solid objects aside,4: GoF,510624,"spells, on the count of three! Harry saw each of the dragon keepers pull out his wand, stupefy! they shouted in unison, and the stunning spells shot into the darkness like fiery rockets, bursting"
347,Reducto,Spell,Blasts solid objects aside,5: OotP,816173,"sprawled on his back on the table, with his head lying inside the jar full of glittering wind, accio wand! cried hermione, Harry’s wand flew from a dark cor­ner into her hand and she threw it"
348,Reducto,Spell,Blasts solid objects aside,6: HBP,1027898,"squeaked professor flitwick, that means you too, stebbins! please remain seated while i collect your parch­ment! accio! more than a hundred rolls of parchment zoomed into the air and into professor flitwick’s outstretched arms,"
349,Reducto,Spell,Blasts solid objects aside,6: HBP,1027900,"squelched through the deepening mud to the middle of the pitch; visibility was still very poor even with the impervius charm; light was fading fast and curtains of rain were sweeping the grounds, all right, on"
350,Colloportus,Spell,Magically locks door,5: OotP,816495,"stars, then turned and began to walk toward the point, just beyond the boundary wall, where the fidelius charm stopped working and they would be able to disapparate, once past the gate, griphook spoke,"
351,Colloportus,Spell,Magically locks door,5: OotP,819623,"stepped over or on the fallen bodies, still slashing at the air with his wand, Harry yelled, sectumsempra! sectumsempra! but though gashes appeared in their sodden rags and their icy skin, they had no"
352,Colloportus,Spell,Magically locks door,5: OotP,819752,"still grinning in a be­mused sort of way ), bagman pointed his wand at his throat and muttered, quietus, they’ll be talking about this one for years, he said hoarsely, a really unexpected twist,"
353,Confundus,Charm,Used to confuse opponent,3: PoA,305584,"stopping so abruptly that Harry walked into her, ron, where are you? oh this is stupid — lumos! she illuminated her wand and directed its narrow beam across the path, ron was lying sprawled on"
354,Confundus,Charm,Used to confuse opponent,4: GoF,404213,"table; he pointed his wand at his throat as he had done at the world cup, said, sonorus! and his voice boomed out across the dark water toward the stands, well, all our champions"
355,Confundus,Charm,Used to confuse opponent,7: DH,1046701,"take his silence for assent, he raised his own wand, pointed it at winky, and said, rennervate! winky stirred feebly, her great brown eyes opened and she blinked several times in a bemused sort"
356,Dissendium,Spell,"Opens ""One eyed witch"" hump",3: PoA,248927,"taken leave of her senses, but hobbled away, hunch-shouldered, muttering under his breath, and now — piertotumlocomotor! cried professor mcgonagall, and all along the corridor the statues and suits of armor jumped down from"
357,Dissendium,Spell,"Opens ""One eyed witch"" hump",3: PoA,248929,"taking a seat behind the latter, he was worried about making hermione jump, he thought of casting the muffliato charm upon umbridge and yaxley, but even murmuring the word might cause hermione alarm, then umbridge raised"
358,Dissendium,Spell,"Opens ""One eyed witch"" hump",3: PoA,273123,"terror behind the anger now, you’ve got it, potter, and you will give it to me — accio prophecy! accio prophecy! Harry laughed again because he knew it would incense her, the pain building"
359,Sonorus,Spell,Amplifies voice,4: GoF,351195,"that moment there were renewed sounds of scuffling from below and a voice shouted, they’ve blocked the stairs — reducto! reducto! Harry’s heart leapt : so these four had not eliminated all opposi­tion, but merely broken"
360,Sonorus,Spell,Amplifies voice,4: GoF,470528,"that moody had cleared of desks, moody raised his wand, pointed it at Harry, and said, imperio! it was the most wonderful feeling, Harry felt a floating sensation as every thought and worry in"
361,Sonorus,Spell,Amplifies voice,4: GoF,509668,"that, Harry, but if she wakes up and the locket’s gone — i need to duplicate it — geminio! there … that should fool her, … hermione came running downstairs, let’s see, … relashio"
362,Tergeo,Spell,Cleans up messes,6: HBP,894710,"that, said Harry, landing beside the two girls, pointing his wand at demelza’s mouth, and saying episkey, and ginny, don’t call ron a prat, you’re not the captain of this team — well"
363,Tergeo,Spell,Cleans up messes,7: DH,1073898,"the authority, but there will not be room for the wizard, Harry pointed his wand at travers, imperio! the wizard turned and set off along the dark track at a smart pace, what are you"
364,Tergeo,Spell,Cleans up messes,7: DH,1148024,"the bar, pause, then turn and walk right toward him, somewhere above him, hermione whispered, mobiliarbus! the christmas tree beside their table rose a few inches off the ground, drifted sideways, and"
365,Cave Inimicum,Spell,Strengthen an enclosure from enemies,7: DH,1128461,"the brains slipped and slid over him and began spinning their long, col­ored tentacles, but he shouted, wingardiumleviosa! and they flew into the air away from him, slipping and sliding he ran on toward the"
366,Cave Inimicum,Spell,Strengthen an enclosure from enemies,7: DH,1175218,"the bundle of slippery cloth into his free hand, with difficulty he dragged it over himself, murmured, nox, extinguishing his wandlight, and continued on his hands and knees, as silently as possible, all"
367,Confringo,Curse,Explode Flames on target,7: DH,1063075,"the class over his shoulder, please watch closely, he raised the wand to shoulder height, said, waddiwasi! and pointed it at peeves, with the force of a bullet, the wad of chewing gum"
368,Confringo,Curse,Explode Flames on target,7: DH,1149757,"the crushing metal fingers from around wormtail’s throat, but it was no use, pettigrew was turning blue, relashio! said ron, pointing the wand at the silver hand, but nothing happened; pettigrew dropped to"
369,Engorgio,Charm,Enlarges and item,4: GoF,384599,"the dark lord knows you are not unintell — now! yelled Harry, five different voices behind him bellowed reducto! five curses flew in five different directions and the shelves opposite them exploded as they hit, the"
370,Engorgio,Charm,Enlarges and item,7: DH,1165377,"the dursleys, he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale"
371,Episkey,Spell,Heals minor injuries,6: HBP,893059,"the floor as a cockroach, crack! snape was back, this time neville charged forward looking determined, riddikulus! he shouted, and they had a split second’s view of snape in his lacy dress before neville"
372,Episkey,Spell,Heals minor injuries,6: HBP,932166,"the goblet he had dropped in the basin; he barely registered the golden locket lying curled beneath it, aguamenti! he shouted, jabbing the goblet with his wand, the goblet filled with clear water; Harry"
373,Furnunculus,Curse,Produces boils on opponent,4: GoF,410179,"the ground, another bang — crookshanks flew into the air and back to the earth in a heap, expelliarmus! Harry yelled, pointing his own wand at petti­grew; lupin’s wand flew high into the air and"
374,Furnunculus,Curse,Produces boils on opponent,4: GoF,543601,"the hole in his mask, but no sound came out; he was thrust aside by his fellow, petrificustotalus! shouted Harry, as the second death eater raised his wand, his arms and legs snapped together"
375,Homenum Revelio,Spell,Reveals humans nearby,7: DH,1097565,"the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah — said Harry, quickly forcing his thoughts"
376,Homenum Revelio,Spell,Reveals humans nearby,7: DH,1174599,"the junk wall, what’s going on? Harry? mimicked crabbe, what’s going — no, potter! crucio! Harry had lunged for the tiara; crabbe’s curse missed him but hit the stone bust, which"
377,Incarcerous,Spell,Ties someone up,5: OotP,805028,"the lower rocks were slippery with seawater, Harry could feel flecks of cold salt spray hitting his face, lumos, said dumbledore, as he reached the boulder closest to the cliff face, a thousand flecks of"
378,Incarcerous,Spell,Ties someone up,6: HBP,1022020,"the old copy of advanced potion-making out of his bag and tapped the cover with his wand, muttering, diffindo! the cover fell off, he did the same thing with the brand-new book ( hermione looked scandalized"
379,Incendio,Spell,Starts a fire,4: GoF,334430,"the previous night, which hermione had since condescended to examine, and had decided was made of blackthorn, engorgio, the spider gave a little shiver, bouncing slightly in the web, Harry tried again, this"
380,Incendio,Spell,Starts a fire,6: HBP,1034651,"the surrounding air : it was as if hermione had cast a heat haze upon their clearing, salviohexia … protegototalum … repellomuggletum … muffliato … you could get out the tent, Harry, … tent? in the"
381,Liberacorpus,Spell,Counterspell,6: HBP,917955,"the third time, she raised it into the air, yes? said moody, looking at her, avadakedavra, hermione whispered, several people looked uneasily around at her, including ron, ah, said moody"
382,Liberacorpus,Spell,Counterspell,7: DH,1211309,"the tip of a wand emerged from around the back of the chair, it was pointing at wormtail, crucio! said the cold voice, wormtail screamed, screamed as though every nerve in his body were on"
383,Meteolojinx Recanto,Spell,Causes weather effect spells to stop,7: DH,1122828,"them that the glass shattered, ron! said hermione reproachfully, and she pulled out her wand, muttered reparo! and the glass shards flew back into a sin­gle pane and back into the door, well …"
384,Meteolojinx Recanto,Spell,Causes weather effect spells to stop,7: DH,1122835,"them, and Harry had to sink low into the sidecar to avoid them, wriggling around he cried, stupefy! and a red bolt of light shot from his own wand, cleaving a gap between the four"
385,Nox,Spell,Counter to Lumos,3: PoA,290956,"them, licking up the sides of the junk bulwarks, which were crumbling to soot at their touch, aguamenti! Harry bawled, but the jet of water that soared from the tip of his wand evaporated in"
386,Nox,Spell,Counter to Lumos,7: DH,1245796,"them; it looked as though it were made of thick gray smoke : the ghost of a spell, deletrius! mr. diggory shouted, and the smoky skull vanished in a wisp of smoke, so, said"
387,Point Me,Charm,Wand acts like a compass,4: GoF,510081,"then the sidecar began to lose height — in desperation Harry pointed his wand at the sidecar and shouted, wingardiumleviosa! the sidecar rose like a cork, unsteerable but at least still airborne : he had but a"
388,Point Me,Charm,Wand acts like a compass,4: GoF,512884,"theory, she took a deep, calming breath, then pointed her wand at dolohov’s forehead and said, obliviate, at once, dolohov’s eyes became unfocused and dreamy, brilliant! said Harry, clapping her on"
389,Protego Totalum,Spell,Area Protection Spell,7: DH,1128255,"there ought to be a few salmon in here, or d’you reckon it’s too early in the season? accio salmon! there were several distinct splashes and then the slapping sounds of fish against flesh, somebody grunted"
390,Protego Totalum,Spell,Area Protection Spell,7: DH,1175175,"there was no bustling or talk or swift footsteps here; the purple-carpeted corridors were as hushed as though the muffliato charm had been cast over the place, her office must be up here, Harry thought, it"
391,Reducio,Spell,Returns items to original size. Counters Engorgio,4: GoF,384791,"there were renewed sounds of scuffling from below and a voice shouted, they’ve blocked the stairs — reducto! reducto! Harry’s heart leapt : so these four had not eliminated all opposi­tion, but merely broken through the"
392,Reducio,Spell,Returns items to original size. Counters Engorgio,7: DH,1165431,"there with his wand covering black, and then to black himself, crumpled and bleeding at Harry’s feet, expelliarmus! lupin shouted, Harry’s wand flew once more out of his hand; so did the two hermione"
393,Salvio Hexia,Spell,Protection against hexes,7: DH,1128253,"they shot through the concealing tapestry at the bottom and spun onto the floor, hitting the opposite wall, duro! cried hermione, pointing her wand at the tapestry, and there were two loud, sickening crunches"
394,Salvio Hexia,Spell,Protection against hexes,7: DH,1175177,"they’re only pixies, lockhart shouted, he rolled up his sleeves, brandished his wand, and bellowed, peskipiksipesternomi! it had absolutely no effect; one of the pixies seized his wand and threw it out of"
395,Specialis Revelio,Spell,Reveals Hidden secrets or magical properties,6: HBP,903985,"think getting your head cut open makes you that special, myself, crabbe and goyle were sniggering stupidly, eatslugs, malfoy, said ron angrily, crabbe stopped laughing and started rubbing his knuckles in a menacing way"
396,Specialis Revelio,Spell,Reveals Hidden secrets or magical properties,6: HBP,960238,"think, he aimed high at the spider’s underbelly, as he had done with the skrewt, and shouted stupefy! just as cedric yelled the same thing, the two spells combined did what one alone had not"
397,Tarantallegra,Spell,Forces opponent to dance,2: CoS,147736,"think, he yelled, duck! he seized the other two and pulled them down onto the ground, stupefy! roared twenty voices — there was a blinding series of flashes and Harry felt the hair on his"
398,Tarantallegra,Spell,Forces opponent to dance,5: OotP,821795,"think, plunging a hand down the neck of his robes, he whipped out his wand and roared, expectopatronum! something silver-white, something enormous, erupted from the end of his wand, he knew it had"
